名稱,代碼,
華城,1519,
中華化,1727,
台玻,1802,
宇隆,2233,
光寶科,2301,
台達電,2308,
華通,2313,
國巨*,2327,
金像電,2368,
廣達,2382,
台光電,2383,
京元電子,2449,
聯發科,2454,
大立光,3008,
晟銘電,3013,
奇鋐,3017,
智原,3035,
欣興,3037,
健鼎,3044,
弘塑,3131,
景碩,3189,
緯創,3231,
欣銓,3264,
台星科,3265,
雙鴻,3324,
上詮,3363,
創意,3443,
聯鈞,3450,
力旺,3529,
嘉澤,3533,
辛耘,3583,
健策,3653,
世芯-KY,3661,
貿聯-KY,3665,
日月光投控,3711,
定穎投控,3715,
新應材,4749,
臻鼎-KY,4958,
