stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,short_margin_ratio_pct,short_margin_ratio_pct_t0,short_margin_ratio_pct_t1,short_margin_ratio_pct_t2,short_margin_ratio_score,margin_cost_line,margin_cost_line_t0,margin_cost_line_t1,margin_cost_line_t2,margin_cost_status,margin_purchase_change,margin_purchase_change_t0,margin_purchase_change_t1,margin_purchase_change_t2,margin_purchase_change_score,short_sale_change,short_sale_change_t0,short_sale_change_t1,short_sale_change_t2,short_sale_change_score,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,foreign_investor_net,foreign_investor_net_t0,foreign_investor_net_t1,foreign_investor_net_t2,foreign_investor_net_score,investment_trust_net,investment_trust_net_t0,investment_trust_net_t1,investment_trust_net_t2,investment_trust_net_score,dealer_net,dealer_net_t0,dealer_net_t1,dealer_net_t2,dealer_net_score,institutional_total_net,institutional_total_net_t0,institutional_total_net_t1,institutional_total_net_t2,institutional_total_net_score,main_force_net_5d,total_volume_5d,main_force_buy_rate_5d_pct,chip_concentration_avg_5d,chip_concentration_change_5d,broker_diff_avg_5d,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1319,東陽,3,15.0,2026-09-10,3,0.14,0.14,0.17,0.17,0,81.89,81.89,81.89,81.9,ok,-1,-1,-59,157,0,-2,-2,0,9,-1,-28.63,-28.63,1.62,-36.56,2026-09-10,2026-09-09,2026-09-08,-0.5,-225,-225,15,-1039,-0.5,173,173,78,318,1,-180,-180,196,-1423,0,-43,-43,-95,-1,0,33,33,-13,-160,1,-190,-190,88,-1584,0,-945,7569,-12.49,-10.63,-48.51,125.4,neutral,籌碼震盪，方向未定,2026-09-10 12:50:46,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:53
1326,台化,3,15.0,2026-09-10,3,1.99,1.99,2.32,1.91,0,67.82,67.82,67.82,67.61,ok,280,280,-1332,584,0,-67,-67,65,-62,0,-11.58,-11.58,18.33,-23.13,2026-09-10,2026-09-09,2026-09-08,0,-2581,-2581,6828,-5588,-0.5,76,76,-30,85,0.5,-2122,-2122,12281,-6522,0,-1,-1,151,0,0,-563,-563,540,-473,0,-2686,-2686,12972,-6995,0,7098,182913,3.88,-0.81,-4.54,23.0,neutral,籌碼震盪，方向未定,2026-09-10 12:50:47,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:55
1402,遠東新,3,15.0,2026-09-10,3,0.77,0.77,0.77,0.92,-0.5,27.84,27.84,27.84,27.82,ok,27,27,169,-88,0,0,0,-11,0,0,-2.49,-2.49,-10.2,-8.11,2026-09-10,2026-09-09,2026-09-08,0,-171,-171,-645,-603,-1,103,103,112,122,1,2183,2183,2461,2899,-1,-2242,-2242,-2298,-2890,1,2,2,101,-277,0,-57,-57,264,-268,0,-3444,36232,-9.51,-9.96,-6.51,118.6,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-09-10 12:50:52,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:58
1503,士電,3,15.0,2026-09-10,3,0.47,0.47,0.47,0.41,0,211.73,211.73,211.73,211.83,ok,-212,-212,-169,-4,-1,-1,-1,1,-2,0,-15.14,-15.14,33.68,-6.32,2026-09-10,2026-09-09,2026-09-08,0,-267,-267,359,-68,-0.5,167,167,-144,130,0.5,538,538,549,2,0,5,5,-3,19,0,-8,-8,23,-115,0,535,535,569,-94,0,856,6701,12.77,12.02,-47.14,-14.4,neutral,籌碼震盪，方向未定,2026-09-10 12:50:52,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:51:01
1504,東元,3,15.0,2026-09-10,3,0.39,0.39,0.39,0.38,0.5,71.86,71.86,71.86,71.86,ok,,,-167,29,-1,,,1,-25,1,3.49,3.49,18.71,-11.52,2026-09-10,2026-09-09,2026-09-08,0.5,124,124,645,-649,0.5,112,112,-27,165,0.5,271,271,993,-1129,0,61,61,53,41,1,17,17,-20,-444,1,349,349,1026,-1532,0,163,21946,0.74,1.59,-9.2,59.8,neutral,籌碼震盪，方向未定,2026-09-10 12:50:53,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:51:03
1513,中興電,3,15.0,2026-09-10,3,0.22,0.22,0.22,0.2,0.5,167.66,167.66,167.66,167.66,ok,,,-65,10,-1,,,1,1,0,13.21,13.21,46.03,2.05,2026-09-10,2026-09-09,2026-09-08,0.5,125,125,823,27,1,68,68,-184,91,0.5,192,192,1107,408,0,-16,-16,-42,0,0,-20,-20,24,-150,0,156,156,1089,258,0,2119,7846,27.01,21.39,-9.63,-30.2,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-09-10 12:50:53,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:51:01
1514,亞力,3,15.0,2026-09-10,3,0.62,0.62,1.4,1.05,0,111.29,111.29,111.29,111.33,ok,4,4,-63,-17,0,-48,-48,21,-1,0,-5.66,-5.66,36.95,8.43,2026-09-10,2026-09-09,2026-09-08,0.5,-35,-35,449,61,0.5,85,85,-175,15,0.5,-99,-99,484,169,0,-5,-5,141,5,0,-5,-5,2,-6,0,-109,-109,627,168,0,833,4711,17.68,11.55,-23.7,-62.0,neutral,籌碼震盪，方向未定,2026-09-10 12:50:54,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:51:02
1519,華城,3,15.0,2026-09-10,3,1.5,1.5,1.49,1.4,0.5,762.04,762.04,762.04,762.54,ok,-95,-95,-118,51,0,-1,-1,2,-4,0,-17.67,-17.67,19.8,-26.2,2026-09-10,2026-09-09,2026-09-08,-0.5,-243,-243,253,-295,-0.5,280,280,-99,235,0.5,-191,-191,404,-277,0,0,0,0,-26,0.5,-63,-63,40,-81,0,-254,-254,444,-384,0,714,9889,7.22,1.56,-35.58,59.4,neutral,籌碼震盪，方向未定,2026-09-10 12:50:55,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:51:02
1532,勤美,3,15.0,2026-09-10,3,0.11,0.11,0.0,0.0,0.5,22.79,22.79,22.79,22.79,ok,,,,,0,,,,,0,8.33,8.33,1.19,4.57,2026-09-10,2026-09-09,2026-09-08,0,11,11,5,9,1,-8,-8,-9,-10,-1,34,34,20,2,1,0,0,0,0,0,-5,-5,-4,-4,-0.5,29,29,16,-2,1,45,1198,3.76,1.97,7.16,-2.4,neutral,籌碼震盪，方向未定,2026-09-10 12:50:58,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:51:05
1560,中砂,3,15.0,2026-09-10,3,1.78,1.78,1.68,1.47,0.5,697.71,697.71,697.07,696.43,ok,-20,-20,-47,-2,0,1,1,2,-1,0,11.18,11.18,15.78,-3.01,2026-09-10,2026-09-09,2026-09-08,0.5,51,51,157,-20,0.5,-49,-49,-122,42,-0.5,121,121,372,137,0,-2,-2,11,-100,0,-7,-7,-120,-26,0,112,112,263,11,0,261,5454,4.79,5.32,43.97,-13.8,neutral,籌碼震盪，方向未定,2026-09-10 14:05:22,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,4126,6000,1874,2026-09-10 14:06:19
